site_id,site_label,subchnl_id,subchnl_label,chnl_id,chnl_label
113,The Boulevard,RTLPOS,Retail POS,RTLPOS,Retail POS
195,St Johns Town Center,RTLPOS,Retail POS,RTLPOS,Retail POS
158,Naperville,RTLPOS,Retail POS,RTLPOS,Retail POS
189,Mission Viejo,RTLPOS,Retail POS,RTLPOS,Retail POS
149,Chandler Fashion Center,RTLPOS,Retail POS,RTLPOS,Retail POS
161,Avenue West Cobb,RTLPOS,Retail POS,RTLPOS,Retail POS
134,King of Prussia,RTLPOS,Retail POS,RTLPOS,Retail POS
164,Briargate,RTLPOS,Retail POS,RTLPOS,Retail POS
181,Ross Park,RTLPOS,Retail POS,RTLPOS,Retail POS
155,The Shops at Friendly Center,RTLPOS,Retail POS,RTLPOS,Retail POS
157,Legacy Village,RTLPOS,Retail POS,RTLPOS,Retail POS
156,The Summit,RTLPOS,Retail POS,RTLPOS,Retail POS
168,Turkey Creek,RTLPOS,Retail POS,RTLPOS,Retail POS
RTLOPCS,Retail OPCS,RTLOPCS,Retail OPCS,RTLOPCS,Retail OPCS
site_id,site_label,subchnl_id,subchnl_label,chnl_id,chnl_label
