date,month,year,week,quarter,fiscal_year,fiscal_period,period_name,start_date,end_date,field_11_raw,field_12_raw,field_13_raw,field_14_raw,field_15_raw,field_16_raw,field_17
20191207,Dec 7,,,,,,,,,,,,,,,
20201208,Dec 8,,,,,,,,,,,,,,,
20211208,Dec 8,,,,,,,,,,,,,,,
20181208,Dec 8,,,,,,,,,,,,,,,
20191208,Dec 8,,,,,,,,,,,,,,,
20221208,Dec 8,,,,,,,,,,,,,,,
20211209,Dec 9,,,,,,,,,,,,,,,
20181209,Dec 9,,,,,,,,,,,,,,,
20221209,Dec 9,,,,,,,,,,,,,,,
20201209,Dec 9,,,,,,,,,,,,,,,
20191209,Dec 9,,,,,,,,,,,,,,,
20220201,Feb 1,,,,,,,,,,,,,,,
20200201,Feb 1,,,,,,,,,,,,,,,
20210201,Feb 1,,,,,,,,,,,,,,,
20190201,Feb 1,,,,,,,,,,,,,,,
20190202,Feb 2,,,,,,,,,,,,,,,
20220202,Feb 2,,,,,,,,,,,,,,,
20210202,Feb 2,,,,,,,,,,,,,,,
20200202,Feb 2,,,,,,,,,,,,,,,
20220203,Feb 3,,,,,,,,,,,,,,,
20210203,Feb 3,,,,,,,,,,,,,,,
20200203,Feb 3,,,,,,,,,,,,,,,
20190203,Feb 3,,,,,,,,,,,,,,,
20220204,Feb 4,,,,,,,,,,,,,,,
20180204,Feb 4,,,,,,,,,,,,,,,
20190204,Feb 4,,,,,,,,,,,,,,,
20200204,Feb 4,,,,,,,,,,,,,,,
20210204,Feb 4,,,,,,,,,,,,,,,
20210205,Feb 5,,,,,,,,,,,,,,,
20190205,Feb 5,,,,,,,,,,,,,,,
20180205,Feb 5,,,,,,,,,,,,,,,
20200205,Feb 5,,,,,,,,,,,,,,,
20220205,Feb 5,,,,,,,,,,,,,,,
20180206,Feb 6,,,,,,,,,,,,,,,
20200206,Feb 6,,,,,,,,,,,,,,,
20220206,Feb 6,,,,,,,,,,,,,,,
20210206,Feb 6,,,,,,,,,,,,,,,
20190206,Feb 6,,,,,,,,,,,,,,,
20220207,Feb 7,,,,,,,,,,,,,,,
20180207,Feb 7,,,,,,,,,,,,,,,
20200207,Feb 7,,,,,,,,,,,,,,,
20210207,Feb 7,,,,,,,,,,,,,,,
20190207,Feb 7,,,,,,,,,,,,,,,
20210208,Feb 8,,,,,,,,,,,,,,,
20180208,Feb 8,,,,,,,,,,,,,,,
20200208,Feb 8,,,,,,,,,,,,,,,
20220208,Feb 8,,,,,,,,,,,,,,,
20190208,Feb 8,,,,,,,,,,,,,,,
20210209,Feb 9,,,,,,,,,,,,,,,
20220209,Feb 9,,,,,,,,,,,,,,,
